,id,lonlat,tags.power,tags.operator,tags.substation,tags.designation,tags.barrier,tags.addr:city,Type,tags.voltage,tags.name,tags.location,tags.area,tags.branch,tags.rating,tags.frequency,tags.source,tags.building,tags.building:levels,tags.name:ar,tags.note,tags.fixme,tags.name:fr,tags.phases,tags.man_made,tags.street_cabinet,tags.operator:ar,tags.operator:fr,tags.operator:wikidata,tags.operator:wikipedia,tags.wall,tags.height,tags.name:en,tags.building:colour,tags.level,tags.ref,tags.brand,tags.addr:city:ar,tags.substance,tags.gas_insulated,tags.landuse,tags.addr:postcode,tags.addr:suburb,tags.transformer,tags.brand:ar,tags.brand:wikidata,tags.brand:wikipedia,tags.sub,Country,tags.access,tags.disused,tags.addr:street,tags.name:de,tags.name:es,tags.name:it,tags.name:ja,tags.name:nl,tags.name:pl,tags.name:pt,tags.name:ru,tags.name:zh-Hans,tags.name:zh-Hant,tags.alt_name,tags.fence_type,tags.short_name,tags.opening_hours,tags.amenity,tags.project:eurosha_2012,tags.source:date,tags.source_date,tags.building:material,tags.building:condition,tags.proposed,tags.wikidata,tags.wikipedia,tags.generator:output:electricity,tags.roof:shape,tags.description,tags.website,tags.start_date,tags.image,tags.wb_pb:id,tags.wheelchair,tags.is_in:village,tags.operator_type,tags.notes,tags.owner,tags.address,tags.voltage:primary,tags.voltage:secondary,tags.generator:source,tags.operator:website,tags.operator:wikipedia:ar,tags.FIXME,tags.construction,tags.source:voltage,tags.historic,tags.building:prefabricated,tags.surface,tags.emergency_phone,tags.addr:housenumber,tags.phone,tags.source:power,tags.operator:type,tags.industrial,tags.cables,tags.key
2349,667260541.0,[ 33.6698344 -13.0181577],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,667938052.0,[ 33.81490572 -13.9698184 ],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351,667520587.0,[ 34.20787596 -10.44935198],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352,326542193.0,[ 34.59064593 -14.44231896],substation,ESCOM,transmission,,fence,,Way,132000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,chain_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2353,442800863.0,[ 33.75998076 -13.94236766],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2354,302050337.0,[ 34.77855403 -15.55815933],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,302050336.0,[ 34.7771243  -15.55937132],substation,,transmission,,,,Way,132000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,407073910.0,[33.90212136 -9.95785816],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,667732420.0,[ 34.62019924 -14.80136956],substation,Escom,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,667757190.0,[ 34.30095261 -14.38287404],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2361,306421031.0,[ 34.87660484 -16.21282248],substation,ESCOM,transmission,,,,Way,132000,,outdoor,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2362,667899636.0,[ 35.05719675 -15.86859009],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2363,667910115.0,[ 34.98624298 -15.6852209 ],substation,,,,,,Way,33000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2367,242082257.0,[ 34.16967663 -11.83321873],substation,,transmission,,fence,,Way,132000;66000,Chintheche Substation,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2368,667520589.0,[ 34.09813406 -10.59907954],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,666961404.0,[ 34.04313396 -11.47464997],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2370,667724201.0,[ 34.95101006 -14.98999992],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2371,368700234.0,[ 35.09924677 -15.75411389],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2372,658393652.0,[ 35.02475902 -15.79226178],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2373,667280240.0,[ 34.94260934 -14.17255766],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2374,306455882.0,[ 34.82074817 -15.52763883],substation,ESCOM,transmission,,,,Way,132000;66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377,329872860.0,[ 34.82004276 -15.52633397],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2378,306460192.0,[ 34.9939311  -15.83574522],substation,ESCOM,transmission,,,,Way,132000;66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,340411258.0,[ 35.18953746 -15.04687382],substation,ESCOM,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,667884651.0,[ 35.41060114 -15.98392409],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2381,507018217.0,[ 34.33143674 -13.75372138],substation,,transmission,,,,Way,132000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,industrial,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2382,667538867.0,[ 34.0835306  -10.44489538],substation,,transmission,,,,Way,66000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2383,668080620.0,[ 34.75314161 -15.90054669],substation,,transmission,,,,Way,132000,,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2384,306736129.0,[ 33.9178455  -11.06177636],substation,ESCOM,,,,,Way,66000,Bwengu Substation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,237517409.0,[-7.8941268  12.57262788],substation,EDM-SA,,,fence,,Way,150000,Sirakoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2387,164699203.0,[-11.37958525  14.37878048],substation,,transmission,,fence,,Way,225000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,237668093.0,[-11.3501368  14.3580278],substation,,,,fence,,Way,225000,Félou,,,,,,local_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2391,421885607.0,[-8.07716592 12.57445682],substation,,,,,,Way,225000;150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2393,236864077.0,[-6.23260718 13.41979423],substation,,,,fence,,Way,225000;150000,Ségou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,189923956.0,[-10.4311147   13.19889427],substation,,,,fence,,Way,225000,Manantali,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,675485868.0,[-12.47444676  14.8901876 ],substation,,transmission,,,,Way,225000;90000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,675493636.0,[-12.1996794   15.17905086],substation,,transmission,,,,Way,90000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,225561276.0,[-16.2613176  16.5719645],substation,,transmission,,fence,,Way,90000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,275506770.0,[-15.82324453  16.56610006],substation,,transmission,,fence,,Way,225000,روصو,outdoor,,,,,,,,روصو,,,,,,,,,,,,,Rosso,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,840217567.0,[-16.0211931   18.04711444],substation,,,,,,Way,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,675493638.0,[-12.44635594  14.89781406],substation,,transmission,,,,Way,90000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,279087902.0,[-13.50701102  16.1698278 ],substation,,transmission,,wall,,Way,90000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,297382746.0,[-14.24105067  16.60229983],substation,,transmission,,fence,,Way,90000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2207144749.0,"[-13.335259199999998, 27.15924649999991]",substation,,,,,,Node,22000;400,ONEP Carrefour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,2207120559.0,"[-13.3377155, 27.160775699999895]",substation,,,,,,Node,60000;22000,Poste Source Foum El Oued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,2207139662.0,"[-13.373609399999998, 27.130953699999903]",substation,,,,,,Node,22000;400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poste transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,281003202.0,[-6.68326636 34.09416498],substation,,,,,,Way,60000,Poste 60/22 KV de Maamora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,291786142.0,[-7.59963422 33.24125138],substation,,distribution,,,,Way,60000,,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,144011573.0,[-7.565401   33.02393932],substation,,transmission,,,,Way,225000;60000,poste 225/60/22 kV de Settat,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,186368573.0,[-6.37352055 33.91123043],substation,,distribution,,,,Way,60000,poste 60/22 kV Tiflet,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,250862291.0,[-5.67179316 32.92188289],substation,,transmission,,,,Way,225000;60000,poste 225/60/22 KV de Khenifra,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,292008278.0,[-5.86241318 35.71519868],substation,,transmission,,,,Way,225000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,215483520.0,[-4.64336638 32.76112343],substation,,transmission,,,,Way,225000;60000,poste 225/60 KV de Mibladen,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,216820526.0,[-4.48779859 31.97009583],substation,,transmission,,,,Way,225000;60000,Poste 225/60 kV d’Errachidia,outdoor,,,,,,,,,,,,,,,,,,,,,Errachidia substation,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,271322126.0,[-5.11803507 33.94661198],substation,,industrial,,,,Way,60000,poste Cior Fes,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,289441022.0,[-8.6053897  33.11745398],substation,,distribution,,,,Way,60000,Poste O.C.P.,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,345798471.0,[-4.96296708 31.67652548],substation,,,,,,Way,60000,poste 60/22 KV de Goulmima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,750894509.0,[-5.30777702 30.8906234 ],substation,,transmission,,,,Way,60000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,750886151.0,[-5.53769888 31.50274689],substation,,,,,,Way,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,174549986.0,[-5.00747535 33.98813573],substation,,distribution,,,,Way,60000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,131549654.0,[-5.95109524 35.54269114],substation,,distribution,,,,Way,60000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,143699506.0,[-5.20134846 34.59576294],substation,,transmission,,,,Way,225000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,584050537.0,[-6.04914048 33.41736686],substation,,,,,,Way,60000,poste 60/22 Kv Oulmes,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,208137370.0,[-2.10510759 34.07168354],substation,,transmission,,fence,,Way,225000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,323792164.0,[-11.70802456  26.7289882 ],substation,,distribution,,,,Way,60000,poste 60/22 kv Esmara,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,163471767.0,[-4.78079978 33.98588936],substation,ONE,transmission,,,,Way,225000,poste 225/60/11 kV El Ouali,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,163515658.0,[-4.97865746 34.05389246],substation,,distribution,,,,Way,60000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,271316486.0,[-7.26034413 31.64783839],substation,,transmission,,,,Way,225000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,251803964.0,[-7.59633082 33.26990842],substation,,distribution,,,,Way,60000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,258342225.0,[-8.38707812 30.07207412],substation,,distribution,,fence,,Way,60000,poste 60/22 kV de Igherm,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,216888494.0,[-6.53448943 32.1963769 ],substation,,transmission,,,,Way,225000,Poste Usine réversible I,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,131985550.0,[-7.05096402 32.89473846],substation,,transmission,,,,Way,225000,poste 225/60 KV Khouribga II,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,750455884.0,[-4.98713032 33.98678148],substation,,transition,,,,Way,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,251222750.0,[-5.60730863 33.02734163],substation,,transmission,,,,Way,225000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,750455880.0,[-4.97152092 34.0381497 ],substation,,transmission,,,,Way,225000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,163494072.0,[-5.6493919 34.0717611],substation,,traction,,,,Way,60000,,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2589,250878457.0,[-7.97713505 31.7205375 ],substation,,transmission,,,,Way,225000,Poste 225/60/22kv de Tensift 1,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,534529593.0,[-5.00232836 34.04916016],substation,,traction,,,,Way,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,200915133.0,[-9.4882133  30.35482207],substation,,transmission,,,,Way,225000,poste225/60/22 kV d’Ait Melloul,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,131588990.0,[-7.75889755 33.35266053],substation,,transmission,,fence,,Way,225000;60000,Poste 225kV Laawamer,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,664941154.0,[-5.75439187 35.5113254 ],substation,,transmission,,,,Way,400000;225000,Poste blindé 400/225 kV Béni Harchane,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2600,750873624.0,[-5.3447525  31.45753974],substation,,,,,,Way,60000,Poste 60/22 KV Ghallil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,200913450.0,[-8.96327949 30.4531272 ],substation,,transmission,,,,Way,225000,Poste 225/60 KV GLALCHAL,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,207998375.0,[-5.59179244 33.16994014],substation,,distribution,,,,Way,60000,poste 60 kV M'rirt,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611,131995387.0,[-8.40012942 32.65074018],substation,,transmission,,,,Way,225000,poste 225/60 kV de Sidi Bennour,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,230754752.0,[-5.94502138 35.22011814],substation,,distribution,,,,Way,60000,poste ONCF Rissania,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,94548360.0,[-8.17600579 31.7187788 ],substation,,transmission,,,,Way,225000,Poste 225/60 kV de Tensift II,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
