,id,lonlat,tags.power,tags.generator:type,tags.generator:method,tags.generator:source,tags.generator:output:electricity,Type,Country
56,2160848443,"[5.597240400000018, 6.298182199999979]",generator,,,,,Node,nigeria
57,7804103287,"[4.789170000000009, 9.139228499999971]",generator,kaplan_turbine,run-of-the-river,hydro,96.4 MW,Node,nigeria
58,7804103241,"[7.25405360000001, 4.851746399999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
59,7804103238,"[7.25323230000001, 4.851944699999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
60,2161072715,"[5.607600000000008, 6.313880999999992]",generator,,,,,Node,nigeria
61,7808424230,"[6.659962499999953, 7.471248700000174]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
62,2075846276,"[5.622379099999965, 6.307373599999997]",generator,,,,,Node,nigeria
63,7808377977,"[8.272385899999994, 5.190548099999995]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
64,7804103248,"[7.25699540000001, 4.849683699999973]",generator,combined_cycle,combustion,gas,yes,Node,nigeria
65,2075846411,"[5.615757799999963, 6.313701799999997]",generator,,,,,Node,nigeria
66,2161110154,"[5.58838400000001, 6.299195099999991]",generator,,,,,Node,nigeria
67,7804103246,"[7.25540220000001, 4.851533099999973]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
68,7810362996,"[7.568708400000012, 4.564872000000013]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
69,2350849583,"[5.61848220000001, 6.339448299999988]",generator,,,hydro,,Node,nigeria
70,7804094440,"[4.710665300000009, 6.7329471999999715]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
71,1995056209,"[5.575795299999986, 6.3598778000000475]",generator,,,,,Node,nigeria
72,7814108839,"[7.573477299999986, 4.569037600000031]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
73,7814108836,"[7.573575499999986, 4.56865740000003]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
74,2155733449,"[5.627541899999988, 6.318544900000003]",generator,,,hydro,yes,Node,nigeria
75,7805160140,"[6.66513650000007, 5.385115299999769]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
76,7808382703,"[5.644191199999995, 5.927283499999994]",generator,gas_turbine,combustion,gas,75 MW,Node,nigeria
77,2350879795,"[5.62803030000001, 6.344291399999985]",generator,,,,,Node,nigeria
78,7804094439,"[4.710661800000009, 6.733261499999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
79,2075846283,"[5.621592599999965, 6.309400999999998]",generator,,,,,Node,nigeria
80,2344466080,"[5.626347100000064, 6.327385500000008]",generator,,,,,Node,nigeria
81,7804103237,"[7.25306060000001, 4.851990199999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
82,7804103210,"[3.3148174000000097, 6.883119299999972]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
83,7804103242,"[7.25417480000001, 4.8517084999999724]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
84,7238712293,"[8.165854899999996, 9.434707299999996]",generator,solar_photovoltaic_panel,photovoltaic,solar,yes,Node,nigeria
85,7810376000,"[7.031430800000009, 4.816022200000014]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
86,7804094438,"[4.710313100000009, 6.734614699999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
87,1995055431,"[5.585081299999987, 6.358541500000047]",generator,,,,yes,Node,nigeria
88,7804103315,"[3.6154569000000087, 6.563483499999972]",generator,steam_turbine,combustion,gas,220 MW,Node,nigeria
89,7804103319,"[3.614437600000009, 6.563479199999971]",generator,steam_turbine,combustion,gas,220 MW,Node,nigeria
90,2350879792,"[5.62612040000001, 6.3409364999999855]",generator,,,,,Node,nigeria
91,4770511545,"[5.6828488999999935, 6.406612900000013]",generator,gas_turbine,combustion,gas,112.5 MW,Node,nigeria
92,2155735324,"[5.629787499999989, 6.321967400000004]",generator,,,hydro,yes,Node,nigeria
93,7804094437,"[4.7103198000000095, 6.734939599999971]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
94,7804103286,"[4.789224200000009, 9.13946739999997]",generator,kaplan_turbine,run-of-the-river,hydro,96.4 MW,Node,nigeria
95,2075846287,"[5.626597099999965, 6.311110399999998]",generator,,,,,Node,nigeria
96,7804094442,"[4.710677900000009, 6.7318177999999715]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
97,2075846268,"[5.626251299999965, 6.305618099999998]",generator,,,,,Node,nigeria
98,2344554605,"[5.6165426000000656, 6.32434680000001]",generator,,,,,Node,nigeria
99,2351090158,"[5.625285200000012, 6.336812799999984]",generator,,,,,Node,nigeria
100,7814108838,"[7.573509999999986, 4.568910900000031]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
101,1994157718,"[5.632458300000002, 6.364959000000015]",generator,,,,,Node,nigeria
102,2344220907,"[5.5964058000000385, 6.341433799999999]",generator,,,,,Node,nigeria
103,7810376002,"[7.031172200000009, 4.815903800000013]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
104,7804096570,"[5.91633200000001, 5.54196709999997]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
105,7804096572,"[5.91650710000001, 5.54213189999997]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
106,2075846410,"[5.618722399999963, 6.311428699999997]",generator,,,,,Node,nigeria
107,2072662662,"[5.575795300000065, 6.359835399999949]",generator,,,,,Node,nigeria
108,7810376001,"[7.031299700000009, 4.815962200000014]",generator,gas_turbine,combustion,gas,25 MW,Node,nigeria
109,7804103316,"[3.6160281000000087, 6.5634858999999715]",generator,steam_turbine,combustion,gas,220 MW,Node,nigeria
110,2349477446,"[5.627482600000009, 6.339518799999986]",generator,,,,,Node,nigeria
111,7810362998,"[7.568053900000011, 4.564497700000013]",generator,gas_turbine,combustion,gas,yes,Node,nigeria
112,7808382702,"[5.644236799999995, 5.927182999999994]",generator,gas_turbine,combustion,gas,75 MW,Node,nigeria
113,2160848258,"[5.604972800000018, 6.297503699999979]",generator,,,,,Node,nigeria
114,2345400479,"[5.61270530000005, 6.3494516000000045]",generator,,dam,hydro,,Node,nigeria
115,7808382696,"[5.645325799999995, 5.924792499999995]",generator,steam_turbine,combustion,gas,120 MW,Node,nigeria
