,id,lonlat,tags.power,tags.substation,Type,Area,tags.voltage,tags.frequency,Country
270,173682343.0,"[-0.9009404999999839, 35.0892082500001]",substation,transmission,Way,239320.0,400000,,algeria
272,406826472.0,"[1.3309881655844111, 26.991807968894165]",substation,,Way,210.0,,,algeria
275,294431650.0,"[0.14582245336344934, 34.90863559377571]",substation,transmission,Way,100280.0,,,algeria
277,381517759.0,"[-2.2157261231170238, 31.604413894772655]",substation,,Way,12920.0,,,algeria
278,246552683.0,"[3.0848970598179437, 36.602374615172735]",substation,,Way,50.0,,,algeria
280,217941443.0,"[5.959622300000003, 33.65084945000016]",substation,,Way,57400.0,220000,,algeria
282,751040071.0,"[-0.1682821999999917, 35.76629409999993]",substation,transmission,Way,120930.0,400000;220000,,algeria
286,377511119.0,"[5.046736011650132, 35.9655874762374]",substation,,Way,15790.0,66000,,algeria
288,173670736.0,"[2.2409547677583213, 36.26006831061495]",substation,transmission,Way,58270.0,220000,,algeria
293,202306886.0,"[9.8965877234179, 27.78513843028684]",substation,,Way,1500.0,,,algeria
294,382665140.0,"[3.051626267508878, 36.70248969542109]",substation,,Way,6590.0,,,algeria
295,365883660.0,"[6.176609268924697, 35.56762848021617]",substation,,Way,69780.0,220000;66000,,algeria
296,822924626.0,"[0.5473673758553967, 32.90869310888112]",substation,,Way,30.0,,,algeria
300,548792594.0,"[5.424315141918479, 36.160332170497554]",substation,,Way,17740.0,66000,,algeria
303,615546463.0,"[7.78008738928488, 36.434999072966775]",substation,,Way,4770.0,,,algeria
304,533805089.0,"[2.8574378999999865, 36.49133660000002]",substation,minor_distribution,Way,60.0,,,algeria
305,610844609.0,"[2.961674329987267, 35.436150225460025]",substation,transmission,Way,302000.0,400000;220000,,algeria
306,172224921.0,"[2.7454032325214546, 36.63099765433857]",substation,yes,Way,14600.0,,,algeria
307,576914383.0,"[2.9244720921033287, 36.63881523675353]",substation,,Way,3970.0,,,algeria
311,686351150.0,"[8.11012461010669, 35.940830314437946]",substation,,Way,600.0,90000,,algeria
313,458092010.0,"[2.861154640016834, 36.49131297829835]",substation,minor_distribution,Way,60.0,,,algeria
