,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry
15006,15006,13787,132000,False,False,False,False,False,31.010065499999747,-29.79514449999981,south-africa,
15007,15007,10955,400000,False,False,False,False,False,29.08790850000006,-26.69392619999994,south-africa,
15008,15008,10384,275000,False,False,False,False,False,28.354764899999854,-26.10783340000004,south-africa,
15009,15009,11732,132000,False,False,False,False,False,29.519574399999954,-26.169564199999986,south-africa,
15010,15010,6837,275000,False,False,False,False,False,23.555774,-27.730643700000023,south-africa,
15011,15011,13046,400000,False,False,False,False,False,30.500675900000072,-28.5018394,south-africa,
15012,15012,12956,132000,False,False,False,False,False,30.4321449999999,-24.823839199999874,south-africa,
15013,15013,14638,132000,False,False,False,False,False,31.578257499999978,-29.020053800000035,south-africa,
15014,15014,7258,132000,False,False,False,False,False,25.298665099999972,-27.776341,south-africa,
15015,15015,12035,132000,False,False,False,False,False,29.850345000000154,-28.736443499999876,south-africa,
15016,15016,10212,400000,False,False,False,False,False,28.2755648,-25.917997399999805,south-africa,
15017,15017,11065,132000,False,False,False,False,False,29.114926200000134,-25.830804400000016,south-africa,
15018,15018,9990,275000,False,False,False,False,False,28.180126500000107,-26.03250419999983,south-africa,
15019,15019,13223,275000,False,False,False,False,False,30.660669300000144,-29.778404700000273,south-africa,
15020,15020,8107,132000,False,False,False,False,False,26.714488100000022,-29.19070549999998,south-africa,
15021,15021,14907,132000,False,False,False,False,False,31.965495399999977,-28.767446899999985,south-africa,
15022,15022,11712,132000,False,False,False,False,False,29.506845600000073,-25.8100009,south-africa,
15023,15023,7980,132000,False,False,False,False,False,26.364468100000014,-28.859148899999983,south-africa,
15024,15024,12350,275000,False,False,False,False,False,30.050862400000014,-25.234570700000535,south-africa,
15025,15025,6238,132000,False,False,False,False,False,20.6543073,-33.232943,south-africa,
15026,15026,10431,132000,False,False,False,False,False,28.4336894,-26.287237100000063,south-africa,
15027,15027,7489,132000,False,False,False,False,False,25.62728589999996,-33.7868563,south-africa,
15028,15028,9673,400000,False,False,False,False,False,28.010642600000022,-25.9638671,south-africa,
